label,timestamp,duration,pkg,dram,socket
delta,1722419903.3939238,39074.402,5502611.0,865521.0,0
delta,1722419903.7048547,42097.513,5204332.0,923768.0,0
delta,1722419904.0318475,42389.436,5509324.0,929276.0,0
delta,1722419904.353088,40844.438,5340928.0,896412.0,0
delta,1722419904.672286,41399.366,5302843.0,896473.0,0
delta,1722419904.9951642,40247.153,5271593.0,883545.0,0
delta,1722419905.3156886,40286.33,5288195.0,878296.0,0
delta,1722419905.6371922,41214.32,5475572.0,899716.0,0
delta,1722419905.9566438,39576.262,5330064.0,876460.0,0
delta,1722419906.2316117,38628.018,5326403.0,865781.0,0
delta,1722419906.5066824,42080.549,5381090.0,955531.0,0
delta,1722419906.781901,34726.879,4844470.0,802883.0,0
delta,1722419907.0517938,39832.734,5481126.0,896932.0,0
delta,1722419907.327751,39478.744,5390000.0,862645.0,0
delta,1722419907.603958,37204.905,5128344.0,824426.0,0
delta,1722419907.8805294,37152.009,5070300.0,828602.0,0
delta,1722419908.1545734,39155.078,5267504.0,860350.0,0
delta,1722419908.4297655,38320.512,5365587.0,866791.0,0
delta,1722419908.7047968,37340.242,5176256.0,830652.0,0
delta,1722419908.9779313,36984.024,5093066.0,833223.0,0
delta,1722419909.2508962,37601.434,5134142.0,826628.0,0
delta,1722419909.5253236,36850.999,5217638.0,827669.0,0
delta,1722419909.799509,37164.265,5246385.0,836069.0,0
delta,1722419910.077999,38405.064,5263170.0,846060.0,0
delta,1722419910.3529198,37095.503,5156481.0,825741.0,0
delta,1722419910.628962,38227.63,5275499.0,847911.0,0
delta,1722419910.9026885,36319.83,5045459.0,806188.0,0
delta,1722419911.1781301,37574.082,5272081.0,840322.0,0
delta,1722419911.4577122,36987.463,5093920.0,810732.0,0
delta,1722419911.739909,40553.588,5322862.0,900206.0,0
delta,1722419912.0210092,45831.884,6077560.0,976890.0,0
delta,1722419912.304157,36829.851,5043932.0,826644.0,0
delta,1722419912.5817924,39677.542,5342516.0,878633.0,0
delta,1722419912.901305,43335.202,4530811.0,930867.0,0
delta,1722419913.2292752,42055.573,4505420.0,908866.0,0
delta,1722419913.549873,44005.402,4541187.0,950314.0,0
delta,1722419913.8773906,48416.303,4804309.0,1030547.0,0
