class,accuracy,precision,recall,f1_score,dataset_type,noise_type,train_dataset_ratio,test_dataset_ratio,batch_size,epoch
0,93.22,0.938659793814433,0.9206268958543984,0.9295558958652373,cifar10,multi,1.0,1.0,64,50
1,93.22,0.98842476094615,0.9969543147208122,0.992671215567349,cifar10,multi,1.0,1.0,64,50
2,93.22,0.9025380710659898,0.9029964448958863,0.9027671997969028,cifar10,multi,1.0,1.0,64,50
3,93.22,0.9291710388247639,0.8677119059284665,0.8973904231061566,cifar10,multi,1.0,1.0,64,50
4,93.22,0.9048702776513428,0.9735553379040157,0.9379570653456004,cifar10,multi,1.0,1.0,64,50
0,94.13,0.9511593487913172,0.9423264907135875,0.9467223177019396,cifar10,multi,1.0,1.0,64,100
1,94.13,0.9989780275932549,0.9938993390950687,0.9964322120285423,cifar10,multi,1.0,1.0,64,100
2,94.13,0.9263645726055613,0.8990504747626187,0.9125031701749936,cifar10,multi,1.0,1.0,64,100
3,94.13,0.9167517875383044,0.9006522829904666,0.9086307263983802,cifar10,multi,1.0,1.0,64,100
4,94.13,0.9149338374291115,0.9713998996487707,0.9423217327816987,cifar10,multi,1.0,1.0,64,100
0,94.2,0.9056603773584906,0.9411764705882353,0.9230769230769231,cifar10,multi,0.1,0.1,64,20
1,94.2,1.0,0.9787234042553191,0.989247311827957,cifar10,multi,0.1,0.1,64,20
2,94.2,0.9365079365079365,0.8634146341463415,0.8984771573604061,cifar10,multi,0.1,0.1,64,20
3,94.2,0.8793969849246231,0.9408602150537635,0.9090909090909091,cifar10,multi,0.1,0.1,64,20
4,94.2,0.9907407407407407,0.9861751152073732,0.9884526558891455,cifar10,multi,0.1,0.1,64,20
0,94.4,0.9795918367346939,0.96,0.9696969696969697,cifar10,multi,0.1,0.1,64,30
1,94.4,1.0,0.9777777777777777,0.9887640449438202,cifar10,multi,0.1,0.1,64,30
2,94.4,0.9378531073446328,0.8736842105263158,0.9046321525885559,cifar10,multi,0.1,0.1,64,30
3,94.4,0.8884120171673819,0.9282511210762332,0.9078947368421053,cifar10,multi,0.1,0.1,64,30
4,94.4,0.9311926605504587,0.9806763285024155,0.9552941176470588,cifar10,multi,0.1,0.1,64,30
